hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,revenue
Resort Hotel,0,6,2015,October,42,11,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,113.0,0,Transient,82.0,1,1,Check-Out,,2015-10-11,164.0
Resort Hotel,0,24,2015,October,44,26,7,15,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,G,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,,2015-10-26,380.40000000000003
Resort Hotel,0,24,2015,November,45,3,0,3,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,,2015-11-03,3.0
Resort Hotel,0,24,2015,November,45,3,2,10,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,328.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,,2015-11-03,90.0
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,326.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,,2015-11-03,154.0
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,326.0,281.0,0,Transient,48.0,0,0,Check-Out,,2015-11-03,154.0
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,2,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,,2015-11-03,154.0
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,6,No Deposit,328.0,281.0,0,Transient,40.0,0,0,Check-Out,,2015-11-03,130.0
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,326.0,281.0,0,Transient,48.0,0,0,Check-Out,,2015-11-03,154.0
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,,2015-11-03,130.0
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,F,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,,2015-11-03,130.0
Resort Hotel,0,33,2015,November,45,4,2,9,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,185.0,281.0,0,Transient-Party,42.55,0,0,Check-Out,,2015-11-04,94.1
Resort Hotel,0,34,2015,November,45,5,2,8,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,,2015-11-05,80.0
Resort Hotel,0,34,2015,November,45,5,2,8,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,,2015-11-05,94.4
